행정구역,2020년_총인구수,2020년_세대수,2020년_남자 인구수,2020년_여자 인구수,2020년_남여 비율
제주특별자치도  (5000000000),"674635","302033","338609","336026",1.01
제주특별자치도 제주시 (5011000000),"492466","216202","246588","245878",1
제주특별자치도 서귀포시 (5013000000),"182169","85831","92021","90148",1.02
