행정구역,2021년_총인구수,2021년_세대수,2021년_남자 인구수,2021년_여자 인구수,2021년_남여 비율
제주특별자치도  (5000000000),"676759","307529","339177","337582",1
제주특별자치도 제주시 (5011000000),"493096","219978","246494","246602",1
제주특별자치도 서귀포시 (5013000000),"183663","87551","92683","90980",1.02
